routename,routelink,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),19:45,12h 10m,07:55,4.4,609,15
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),19:25,12h 20m,07:45,4.3,609,6
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,VE A/C Sleeper (2+1),23:10,13h 55m,13:05,4.2,609,19
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),19:30,12h 25m,07:55,4.2,609,9
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),19:30,12h 30m,08:00,4,609,15
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),19:20,13h 40m,09:00,4.5,609,6
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),22:00,13h 30m,11:30,4.4,609,8
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,12h 40m,10:25,4.3,609,12
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Indumati Travels,A/C Sleeper (2+1),20:25,12h 05m,08:30,4.1,609,8
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),21:20,12h 40m,10:00,4.1,609,3
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Amrutyog,A/C Sleeper (2+1),20:20,11h 40m,08:00,4.1,609,6
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),20:30,12h 35m,09:05,4.3,609,7
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray National Express,NON A/C Sleeper (2+1),19:20,11h 25m,06:45,4.1,609,10
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Shreyas,A/C Sleeper (2+1),19:45,13h 15m,09:00,4.3,609,3
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:15,12h 05m,09:20,4.3,609,6
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),19:25,11h 30m,06:55,4.2,609,3
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Vip Yellows,A/C Sleeper (2+1),19:30,12h 30m,08:00,4.1,609,6
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),19:45,10h 15m,06:00,4.3,609,4
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Travels,A/C Sleeper (2+1),19:20,11h 40m,07:00,4.4,609,8
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),20:00,11h 30m,07:30,4.1,609,4
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),20:45,11h 35m,08:20,4,609,1
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:55,12h 35m,09:30,4.2,609,6
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),22:30,11h 20m,09:50,4.4,609,1
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Travels,A/C Sleeper (2+1),19:20,12h 25m,07:45,5,609,8
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Anand Tours And Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:45,09h 45m,08:30,4,609,36
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Anand Tours And Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:45,09h 45m,08:30,4,609,36
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),23:00,12h 15m,11:15,3.7,609,14
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),21:00,11h 45m,08:45,3.3,609,20
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Humsafar Travels,A/C Sleeper (2+1),20:30,13h 00m,09:30,3.5,609,11
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,10h 45m,07:15,3.6,609,10
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi Queen Prime,A/C Sleeper (2+1),19:20,12h 10m,07:30,3.8,609,11
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Traveltime Travels (Kelkar),NON A/C Seater/ Sleeper (2+1),19:16,13h 29m,08:45,3.1,609,9
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),19:30,12h 31m,08:01,3.8,609,13
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Atmaram Divine,NON A/C Sleeper (1+2),19:20,11h 25m,06:45,3.9,609,11
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Travels,NON A/C Sleeper (1+2),19:30,10h 45m,06:15,3.9,609,8
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Shreyash Travels,Bharat Benz A/C Sleeper (2+1),19:45,12h 45m,08:30,3.5,609,7
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,PSR Travels Goa,A/C Sleeper (2+1),23:00,10h 30m,09:30,3.5,609,5
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin travel house,A/C Sleeper (2+1),23:20,11h 25m,10:45,3.2,609,12
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi Queen Asta,A/C Sleeper (2+1),20:00,12h 00m,08:00,3.7,609,5
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Abhishek Vishal Travels,A/C Sleeper (2+1),21:35,11h 05m,08:40,3.5,609,8
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Humsafar Travels,A/C Sleeper (2+1),20:30,12h 30m,09:00,3.4,609,11
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (39),A/C Sleeper (2+1),21:30,11h 00m,08:30,2.6,609,14
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Kokan Holidays,NON A/C Seater Push Back (2+2),21:30,12h 15m,09:45,1.1,609,2
pune-to-goa,https://www.redbus.in/bus-tickets/pune-to-goa,Maa tours & Travels,A/C Seater (2+2),23:15,10h 45m,10:00,1,609,20
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Ashray Travels,Non A/C Seater / Sleeper (2+1),19:30,11h 00m,06:30,4.4,500,19
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),20:30,13h 00m,09:30,4,500,16
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Amrutyog Travels,A/C Sleeper (2+1),20:00,11h 22m,07:22,4,500,25
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,AdIndumati Travels,A/C Sleeper (2+1),20:45,10h 15m,07:00,4.1,500,8
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,VE A/C Sleeper (2+1),20:17,10h 45m,07:02,4.7,500,6
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,VE A/C Sleeper (2+1),21:15,10h 30m,07:45,4.7,500,2
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels ( Gogte ),A/C Sleeper (2+1),19:47,10h 13m,06:00,4.5,500,17
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,13h 00m,10:00,4.4,500,3
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels ( Ashray ),A/C Sleeper (2+1),20:42,13h 28m,10:10,4.4,500,17
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,"National Travels,Goa",NON A/C Sleeper (2+1),19:30,10h 50m,06:20,4,500,3
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:30,10h 40m,06:10,4.5,500,4
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels (Dolphin),A/C Sleeper (2+1),19:30,13h 10m,08:40,4,500,17
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,NON A/C Sleeper (2+1),19:46,11h 15m,07:01,4.2,500,9
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,NON A/C Sleeper (2+1),19:31,10h 30m,06:01,4,500,12
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Prasanna - Purple Bus,VE A/C Sleeper (2+1),19:45,09h 15m,05:00,4,500,2
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,IntrCity SmartBus,AC Sleeper (2+1),19:35,09h 55m,05:30,4.4,500,9
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,Prasanna - Purple Bus,VE A/C Sleeper (2+1),19:30,10h 45m,06:15,4,500,12
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),20:00,11h 45m,07:45,4.4,500,2
goa-to-pune,https://www.redbus.in/bus-tickets/goa-to-pune,IntrCity SmartBus,AC Sleeper (2+1),20:30,10h 35m,07:05,4.5,500,4
