routename,routelink,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Bihar state road transport corporation (BSRTC) - 152154,Volvo AC Seater 2+2,16:30,16h 00m,08:30,3.2,1200,35
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Bihar state road transport corporation (BSRTC) - 137431,Volvo AC Seater 2+2,19:10,16h 49m,11:59,4,1200,35
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Rajdhani Express,A/C Seater / Sleeper (2+2),15:00,16h 00m,07:00,1,1200,30
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Singh Express Bus Service,A/C Seater / Sleeper (2+2),15:00,19h 00m,10:00,1,1200,20
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:20,14h 30m,10:50,1.9,1200,38
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Rajdhani Express,A/C Seater / Sleeper (2+2),16:00,17h 00m,09:00,1,1200,20
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+2),20:00,18h 30m,14:30,1,1200,72
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),17:30,15h 30m,09:00,1,1200,16
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),18:15,13h 45m,08:00,1,1200,14
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),18:15,13h 55m,08:10,1,1200,30
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),17:35,14h 55m,08:30,1,1200,14
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),17:40,14h 50m,08:30,1,1200,14
gopalganj-to-delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),18:05,13h 55m,08:00,1,1200,14
patna-to-bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Bihar state road transport corporation (BSRTC) - 146158,Non AC Seater (2+2),09:00,06h 00m,15:00,2.5,285,31
patna-to-bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:30,06h 30m,16:00,3.6,285,59
patna-to-bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,06h 40m,05:00,4,285,54
patna-to-bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,05h 20m,04:00,3.4,285,27
patna-to-bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),08:12,05h 18m,13:30,1,285,42
patna-to-bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),08:41,05h 09m,13:50,1,285,42
patna-to-bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Vivek Travels,A/C Seater (2+2),13:25,07h 00m,20:25,1,285,45
patna-to-bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Vivek Travels,A/C Seater / Sleeper (2+2),13:30,07h 00m,20:30,1,285,72
patna-to-bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,05h 32m,02:00,1.9,285,6
patna-to-bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,06h 00m,03:40,2.5,285,51
patna-to-motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Bihar state road transport corporation (BSRTC) - 146158,Non AC Seater (2+2),09:00,04h 00m,13:00,1.9,230,31
patna-to-motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),21:20,03h 40m,01:00,3.1,230,33
patna-to-motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),12:15,04h 00m,16:15,4,230,35
patna-to-motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,06h 00m,04:00,4.5,230,54
patna-to-motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:30,04h 30m,14:00,2.4,230,59
patna-to-motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Saurabh Travels,A/C Seater Push Back (2+2),10:30,03h 30m,14:00,1.4,230,42
